time,temperature_2m
2025-09-11 00:00:00+00:00,22.6
2025-09-11 01:00:00+00:00,20.3
2025-09-11 02:00:00+00:00,18.4
2025-09-11 03:00:00+00:00,17.4
2025-09-11 04:00:00+00:00,16.7
2025-09-11 05:00:00+00:00,16.2
2025-09-11 06:00:00+00:00,16.2
2025-09-11 07:00:00+00:00,15.7
2025-09-11 08:00:00+00:00,15.3
2025-09-11 09:00:00+00:00,14.9
2025-09-11 10:00:00+00:00,14.8
2025-09-11 11:00:00+00:00,14.7
2025-09-11 12:00:00+00:00,15.3
2025-09-11 13:00:00+00:00,17.1
2025-09-11 14:00:00+00:00,19.8
2025-09-11 15:00:00+00:00,22.0
2025-09-11 16:00:00+00:00,23.2
2025-09-11 17:00:00+00:00,24.7
2025-09-11 18:00:00+00:00,26.2
2025-09-11 19:00:00+00:00,27.3
2025-09-11 20:00:00+00:00,27.7
2025-09-11 21:00:00+00:00,28.0
2025-09-11 22:00:00+00:00,27.7
2025-09-11 23:00:00+00:00,26.8
2025-09-12 00:00:00+00:00,24.6
2025-09-12 01:00:00+00:00,22.8
2025-09-12 02:00:00+00:00,21.4
2025-09-12 03:00:00+00:00,20.6
2025-09-12 04:00:00+00:00,19.8
2025-09-12 05:00:00+00:00,18.9
2025-09-12 06:00:00+00:00,18.2
2025-09-12 07:00:00+00:00,17.6
2025-09-12 08:00:00+00:00,16.9
2025-09-12 09:00:00+00:00,16.2
2025-09-12 10:00:00+00:00,16.1
2025-09-12 11:00:00+00:00,15.5
2025-09-12 12:00:00+00:00,15.7
2025-09-12 13:00:00+00:00,18.7
2025-09-12 14:00:00+00:00,21.5
2025-09-12 15:00:00+00:00,23.9
2025-09-12 16:00:00+00:00,26.0
2025-09-12 17:00:00+00:00,27.6
2025-09-12 18:00:00+00:00,28.9
2025-09-12 19:00:00+00:00,29.6
2025-09-12 20:00:00+00:00,30.0
2025-09-12 21:00:00+00:00,29.9
2025-09-12 22:00:00+00:00,29.5
2025-09-12 23:00:00+00:00,27.9
2025-09-13 00:00:00+00:00,24.5
2025-09-13 01:00:00+00:00,22.2
2025-09-13 02:00:00+00:00,20.8
2025-09-13 03:00:00+00:00,19.7
2025-09-13 04:00:00+00:00,18.9
2025-09-13 05:00:00+00:00,17.9
2025-09-13 06:00:00+00:00,17.1
2025-09-13 07:00:00+00:00,16.4
2025-09-13 08:00:00+00:00,15.8
2025-09-13 09:00:00+00:00,15.1
2025-09-13 10:00:00+00:00,14.7
2025-09-13 11:00:00+00:00,14.1
2025-09-13 12:00:00+00:00,14.2
2025-09-13 13:00:00+00:00,17.6
2025-09-13 14:00:00+00:00,21.2
2025-09-13 15:00:00+00:00,24.4
2025-09-13 16:00:00+00:00,26.9
2025-09-13 17:00:00+00:00,28.1
2025-09-13 18:00:00+00:00,29.2
2025-09-13 19:00:00+00:00,29.9
2025-09-13 20:00:00+00:00,30.1
2025-09-13 21:00:00+00:00,29.9
2025-09-13 22:00:00+00:00,29.1
2025-09-13 23:00:00+00:00,25.0
2025-09-14 00:00:00+00:00,21.6
2025-09-14 01:00:00+00:00,20.2
2025-09-14 02:00:00+00:00,19.0
2025-09-14 03:00:00+00:00,18.8
2025-09-14 04:00:00+00:00,17.7
2025-09-14 05:00:00+00:00,17.0
2025-09-14 06:00:00+00:00,16.4
2025-09-14 07:00:00+00:00,16.2
2025-09-14 08:00:00+00:00,15.7
2025-09-14 09:00:00+00:00,15.3
2025-09-14 10:00:00+00:00,15.0
2025-09-14 11:00:00+00:00,14.6
2025-09-14 12:00:00+00:00,15.5
2025-09-14 13:00:00+00:00,18.3
2025-09-14 14:00:00+00:00,21.8
2025-09-14 15:00:00+00:00,25.1
2025-09-14 16:00:00+00:00,27.7
2025-09-14 17:00:00+00:00,29.7
2025-09-14 18:00:00+00:00,30.9
2025-09-14 19:00:00+00:00,31.4
2025-09-14 20:00:00+00:00,31.3
2025-09-14 21:00:00+00:00,30.9
2025-09-14 22:00:00+00:00,30.0
2025-09-14 23:00:00+00:00,25.8
2025-09-15 00:00:00+00:00,22.7
2025-09-15 01:00:00+00:00,21.5
2025-09-15 02:00:00+00:00,20.5
2025-09-15 03:00:00+00:00,19.6
2025-09-15 04:00:00+00:00,18.9
2025-09-15 05:00:00+00:00,18.5
2025-09-15 06:00:00+00:00,17.9
2025-09-15 07:00:00+00:00,17.3
2025-09-15 08:00:00+00:00,16.6
2025-09-15 09:00:00+00:00,16.1
2025-09-15 10:00:00+00:00,15.7
2025-09-15 11:00:00+00:00,15.4
2025-09-15 12:00:00+00:00,16.0
2025-09-15 13:00:00+00:00,18.7
2025-09-15 14:00:00+00:00,21.8
2025-09-15 15:00:00+00:00,24.6
2025-09-15 16:00:00+00:00,27.7
2025-09-15 17:00:00+00:00,29.7
2025-09-15 18:00:00+00:00,30.9
2025-09-15 19:00:00+00:00,30.9
2025-09-15 20:00:00+00:00,30.7
2025-09-15 21:00:00+00:00,30.3
2025-09-15 22:00:00+00:00,27.0
2025-09-15 23:00:00+00:00,25.6
2025-09-16 00:00:00+00:00,22.3
2025-09-16 01:00:00+00:00,21.1
2025-09-16 02:00:00+00:00,21.9
2025-09-16 03:00:00+00:00,21.5
2025-09-16 04:00:00+00:00,21.1
2025-09-16 05:00:00+00:00,20.7
2025-09-16 06:00:00+00:00,18.9
2025-09-16 07:00:00+00:00,18.1
2025-09-16 08:00:00+00:00,17.4
2025-09-16 09:00:00+00:00,16.8
2025-09-16 10:00:00+00:00,16.4
2025-09-16 11:00:00+00:00,16.1
2025-09-16 12:00:00+00:00,16.8
2025-09-16 13:00:00+00:00,19.1
2025-09-16 14:00:00+00:00,22.4
2025-09-16 15:00:00+00:00,25.3
2025-09-16 16:00:00+00:00,27.8
2025-09-16 17:00:00+00:00,29.9
2025-09-16 18:00:00+00:00,31.3
2025-09-16 19:00:00+00:00,31.7
2025-09-16 20:00:00+00:00,31.4
2025-09-16 21:00:00+00:00,30.4
2025-09-16 22:00:00+00:00,28.7
2025-09-16 23:00:00+00:00,26.3
2025-09-17 00:00:00+00:00,24.4
2025-09-17 01:00:00+00:00,23.4
2025-09-17 02:00:00+00:00,22.8
2025-09-17 03:00:00+00:00,22.0
2025-09-17 04:00:00+00:00,20.9
2025-09-17 05:00:00+00:00,19.7
2025-09-17 06:00:00+00:00,18.7
2025-09-17 07:00:00+00:00,18.1
2025-09-17 08:00:00+00:00,17.8
2025-09-17 09:00:00+00:00,17.5
2025-09-17 10:00:00+00:00,17.1
2025-09-17 11:00:00+00:00,16.7
2025-09-17 12:00:00+00:00,17.2
2025-09-17 13:00:00+00:00,19.1
2025-09-17 14:00:00+00:00,21.8
2025-09-17 15:00:00+00:00,24.3
2025-09-17 16:00:00+00:00,26.5
2025-09-17 17:00:00+00:00,28.6
2025-09-17 18:00:00+00:00,30.1
2025-09-17 19:00:00+00:00,31.3
2025-09-17 20:00:00+00:00,32.0
2025-09-17 21:00:00+00:00,31.5
2025-09-17 22:00:00+00:00,28.9
2025-09-17 23:00:00+00:00,25.1
